=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2019.07.02 18:58:49 =~=~=~=~=~=~=~=~=~=~=~=
Millis, Current, Temp.A05.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
3112, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
3122, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
3132, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
3142, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
3152, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
3162, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
3172, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
3182, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
3192, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
3202, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
3212, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
3222, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
3232, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
3243, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
3253, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
3263, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
3273, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
3283, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
3293, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
3303, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
3313, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
3323, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
3333, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
3343, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
3353, -205.47, 124.00, 0.00, -1.84, ALARM, LOW_FC_CURRENT
