=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2019.06.26 10:45:29 =~=~=~=~=~=~=~=~=~=~=~=
Millis, Current, Tem..39, 22.00, 0.05, 0.02, STANDBY, NONE
3082, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
3092, 0.00, 22.00, 0.00, 0.01, STANDBY, NONE
3102, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
3112, 0.00, 22.00, 0.00, 0.01, STANDBY, NONE
3122, 0.00, 22.00, 0.00, 0.01, STANDBY, NONE
3132, 0.00, 22.00, 0.00, 0.01, STANDBY, NONE
3142, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
3152, 0.00, 22.00, 0.00, 0.01, STANDBY, NONE
3162, 0.39, 22.00, 0.03, 0.01, STANDBY, NONE
3172, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
3182, 0.39, 22.00, 0.05, 0.01, STANDBY, NONE
3192, 0.39, 22.00, 0.00, 0.01, STANDBY, NONE
3202, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
3212, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
3222, 0.00, 22.00, 0.00, 0.01, STANDBY, NONE
3232, 0.39, 23.00, 0.08, 0.01, STANDBY, NONE
3243, 0.00, 21.00, 0.00, 0.01, STANDBY, NONE
3253, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
3263, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
3273, 0.00, 22.00, 0.00, 0.01, STANDBY, NONE
3283, 0.39, 22.00, 0.05, 0.01, STANDBY, NONE
3293, 0.00, 22.00, 0.00, 0.01, STANDBY, NONE
3303, 0.39, 22.00, 0.05, 0.01, STANDBY, NONE
3313, 0.00, 22.00, 0.00, 0.01, STANDBY, NONE
3323, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
3333, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
3343, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
3353, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
3363, 0.39, 22.00, 0.03, 0.01, STANDBY, NONE
3373, 0.00, 22.00, 0.00, 0.01, STANDBY, NONE
3383, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
3393, 0.39, 22.00, 0.05, 0.01, STANDBY, NONE
3403, 0.00, 22.00, 0.00, 0.01, STANDBY, NONE
3414, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
3424, 0.00, 22.00, 0.00, 0.01, STANDBY, NONE
3434, 0.00, 22.00, 0.00, 0.01, STANDBY, NONE
3444, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
3454, 0.39, 22.00, 0.03, 0.01, STANDBY, NONE
3464, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
3474, 0.39, 22.00, 0.05, 0.01, STANDBY, NONE
3484, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
3494, 0.39, 22.00, 0.00, 0.01, STANDBY, NONE
3504, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
3514, 0.39, 22.00, 0.00, 0.01, STANDBY, NONE
3524, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
3534, 0.39, 22.00, 0.05, 0.01, STANDBY, NONE
3544, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
3554, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
3564, 0.00, 22.00, 0.00, 0.01, STANDBY, NONE
3574, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
3584, 0.39, 22.00, 0.00, 0.01, STANDBY, NONE
3594, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
3604, 0.00, 22.00, 0.00, 0.01, STANDBY, NONE
3614, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
3624, 0.00, 22.00, 0.05, 0.01, STANDBY, NONE
3634, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
3644, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
3654, 0.39, 22.00, 0.05, 0.01, STANDBY, NONE
3664, 0.39, 22.00, 0.03, 0.01, STANDBY, NONE
3674, 0.39, 22.00, 0.05, 0.01, STANDBY, NONE
3684, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
3694, 0.00, 22.00, 0.00, 0.01, STANDBY, NONE
3704, 0.00, 22.00, 0.00, 0.01, STANDBY, NONE
3714, 0.00, 22.00, 0.00, 0.01, STANDBY, NONE
3724, 0.00, 22.00, 0.16, 0.01, STANDBY, NONE
3734, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
3744, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
3755, 0.39, 22.00, 0.03, 0.01, STANDBY, NONE
3765, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
3775, 0.39, 22.00, 0.03, 0.01, STANDBY, NONE
3785, 0.39, 22.00, 0.03, 0.01, STANDBY, NONE
3795, 0.39, 22.00, 0.05, 0.01, STANDBY, NONE
3805, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
3815, 0.39, 22.00, 0.03, 0.01, STANDBY, NONE
3825, 0.39, 22.00, 0.05, 0.01, STANDBY, NONE
3835, 0.00, 22.00, 0.00, 0.01, STANDBY, NONE
3845, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
3855, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
3865, 0.00, 22.00, 0.00, 0.01, STANDBY, NONE
3875, 0.39, 22.00, 0.03, 0.01, STANDBY, NONE
3885, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
3895, 0.00, 22.00, 0.00, 0.01, STANDBY, NONE
3905, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
3915, 0.00, 22.00, 0.00, 0.01, STANDBY, NONE
3926, 0.00, 22.00, 0.00, 0.01, STANDBY, NONE
3936, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
3946, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
3956, 0.00, 22.00, 0.00, 0.02, STANDBY, NONE
3966, 0.39, 22.00, 0.05, 0.02, STANDBY, NONE
3976, 0.00, 22.00, 0.00, 0.02, STANDBY, NONE
3986, 0.00, 22.00, 0.03, 0.02, STANDBY, NONE
3996, 0.00, 22.00, 0.03, 0.02, STANDBY, NONE
4006, 0.00, 22.00, 0.03, 0.02, STANDBY, NONE
4016, 0.39, 22.00, 0.03, 0.01, STANDBY, NONE
4026, 0.39, 22.00, 0.05, 0.01, STANDBY, NONE
4036, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
4046, 0.00, 22.00, 0.00, 0.01, STANDBY, NONE
4056, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
4066, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
4076, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
4086, 0.39, 22.00, 0.05, 0.01, STANDBY, NONE
4096, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
4106, 0.00, 22.00, 0.00, 0.01, STANDBY, NONE
4116, 0.00, 22.00, 0.00, 0.01, STANDBY, NONE
4126, 0.39, 22.00, 0.03, 0.01, STANDBY, NONE
4136, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
4146, 0.00, 22.00, 0.03, 0.01, STANDBY, NONE
