=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2019.06.26 10:26:02 =~=~=~=~=~=~=~=~=~=~=~=
Millis, Current, Temp., Voltage, 0ANDBY, NONE
2761, 1.56, 22.00, 0.00, 0.01, STANDBY, NONE
2771, 1.56, 22.00, 0.05, 0.01, STANDBY, NONE
2781, 1.56, 22.00, 0.00, 0.01, STANDBY, NONE
2791, 1.17, 22.00, 0.05, 0.01, STANDBY, NONE
2801, 1.56, 22.00, 0.00, 0.01, STANDBY, NONE
2811, 1.17, 22.00, 0.00, 0.01, STANDBY, NONE
2821, 1.17, 22.00, 0.00, 0.01, STANDBY, NONE
2831, 1.56, 22.00, 0.00, 0.01, STANDBY, NONE
2841, 1.17, 22.00, 0.00, 0.01, STANDBY, NONE
2851, 1.17, 22.00, 0.05, 0.01, STANDBY, NONE
2861, 1.56, 22.00, 0.00, 0.01, STANDBY, NONE
2871, 1.17, 22.00, 0.00, 0.01, STANDBY, NONE
2881, 1.17, 22.00, 0.03, 0.01, STANDBY, NONE
2891, 1.56, 22.00, 0.05, 0.01, STANDBY, NONE
2902, 1.56, 22.00, 0.00, 0.01, STANDBY, NONE
2912, 1.56, 22.00, 0.00, 0.01, STANDBY, NONE
2922, 1.17, 22.00, 0.00, 0.01, STANDBY, NONE
2932, 1.56, 22.00, 0.03, 0.01, STANDBY, NONE
2942, 1.17, 22.00, 0.05, 0.01, STANDBY, NONE
2952, 1.56, 22.00, 0.23, 0.01, STANDBY, NONE
2962, 1.56, 22.00, 0.23, 0.01, STANDBY, NONE
2972, 1.17, 22.00, 0.03, 0.01, STANDBY, NONE
2982, 1.56, 22.00, 0.03, 0.01, STANDBY, NONE
2992, 1.56, 22.00, 0.26, 0.01, STANDBY, NONE
3002, 1.56, 22.00, 0.03, 0.01, STANDBY, NONE
3012, 1.56, 22.00, 0.03, 0.01, STANDBY, NONE
3022, 1.56, 22.00, 0.00, 0.01, STANDBY, NONE
3032, 1.56, 22.00, 0.23, 0.01, STANDBY, NONE
3042, 1.17, 22.00, 0.00, 0.01, STANDBY, NONE
3052, 1.56, 22.00, 0.23, 0.01, STANDBY, NONE
3062, 1.56, 22.00, 0.05, 0.01, STANDBY, NONE
3072, 1.56, 22.00, 0.00, 0.01, STANDBY, NONE
3082, 1.56, 22.00, 0.00, 0.01, STANDBY, NONE
3092, 1.56, 22.00, 0.03, 0.01, STANDBY, NONE
3102, 1.56, 22.00, 0.03, 0.01, STANDBY, NONE
3112, 1.56, 22.00, 0.00, 0.01, STANDBY, NONE
3122, 1.56, 22.00, 0.00, 0.01, STANDBY, NONE
3132, 1.56, 22.00, 0.23, 0.01, STANDBY, NONE
3142, 1.17, 22.00, 0.23, 0.01, STANDBY, NONE
3152, 1.56, 22.00, 0.03, 0.01, STANDBY, NONE
3162, 1.17, 22.00, 0.00, 0.01, STANDBY, NONE
3172, 1.56, 22.00, 0.23, 0.01, STANDBY, NONE
3182, 1.17, 22.00, 0.00, 0.01, STANDBY, NONE
3192, 1.17, 22.00, 0.03, 0.01, STANDBY, NONE
3202, 1.17, 22.00, 0.00, 0.01, STANDBY, NONE
3212, 1.17, 22.00, 0.00, 0.01, STANDBY, NONE
3222, 1.17, 22.00, 0.23, 0.01, STANDBY, NONE
3232, 1.56, 22.00, 0.00, 0.01, STANDBY, NONE
3243, 1.17, 22.00, 0.05, 0.01, STANDBY, NONE
3253, 1.56, 22.00, 0.05, 0.01, STANDBY, NONE
3263, 1.56, 22.00, 0.00, 0.01, STANDBY, NONE
3273, 1.56, 22.00, 0.00, 0.01, STANDBY, NONE
3283, 1.17, 22.00, 0.00, 0.01, STANDBY, NONE
3293, 1.56, 22.00, 0.05, 0.01, STANDBY, NONE
3303, 1.17, 22.00, 0.03, 0.01, STANDBY, NONE
3313, 1.17, 22.00, 0.00, 0.01, STANDBY, NONE
3323, 1.56, 22.00, 0.00, 0.01, STANDBY, NONE
3333, 1.56, 22.00, 0.21, 0.01, STANDBY, NONE
3343, 1.17, 22.00, 0.05, 0.01, STANDBY, NONE
3353, 1.56, 22.00, 0.00, 0.01, STANDBY, NONE
3363, 1.17, 22.00, 0.00, 0.01, STANDBY, NONE
3373, 1.56, 22.00, 0.23, 0.01, STANDBY, NONE
3383, 1.17, 22.00, 0.00, 0.01, STANDBY, NONE
3393, 1.17, 22.00, 0.23, 0.01, STANDBY, NONE
3403, 1.17, 22.00, 0.03, 0.01, STANDBY, NONE
3414, 1.17, 22.00, 0.00, 0.01, STANDBY, NONE
3424, 1.17, 22.00, 0.00, 0.01, STANDBY, NONE
3434, 1.56, 22.00, 0.00, 0.01, STANDBY, NONE
3444, 1.56, 22.00, 0.00, 0.01, STANDBY, NONE
3454, 1.56, 22.00, 0.00, 0.01, STANDBY, NONE
3464, 1.17, 22.00, 0.00, 0.01, STANDBY, NONE
3474, 1.56, 22.00, 0.03, 0.01, STANDBY, NONE
3484, 1.17, 22.00, 0.00, 0.01, STANDBY, NONE
3494, 1.17, 22.00, 0.00, 0.01, STANDBY, NONE
3504, 1.17, 22.00, 0.00, 0.01, STANDBY, NONE
3514, 1.56, 22.00, 0.03, 0.01, STANDBY, NONE
3524, 1.56, 22.00, 0.00, 0.01, STANDBY, NONE
3534, 1.17, 22.00, 0.00, 0.01, STANDBY, NONE
3544, 1.56, 22.00, 0.00, 0.01, STANDBY, NONE
3554, 1.17, 22.00, 0.03, 0.01, STANDBY, NONE
3564, 1.56, 22.00, 0.03, 0.01, STANDBY, NONE
3574, 1.56, 22.00, 0.00, 0.01, STANDBY, NONE
3584, 1.56, 22.00, 0.03, 0.01, STANDBY, NONE
3594, 1.56, 22.00, 0.00, 0.01, STANDBY, NONE
3604, 1.56, 22.00, 0.00, 0.01, STANDBY, NONE
3614, 1.17, 22.00, 0.00, 0.01, STANDBY, NONE
3624, 1.17, 22.00, 0.00, 0.01, STANDBY, NONE
3634, 1.56, 22.00, 0.03, 0.01, STANDBY, NONE
3644, 1.17, 22.00, 0.05, 0.01, STANDBY, NONE
3654, 1.56, 22.00, 0.00, 0.01, STANDBY, NONE
3664, 1.17, 22.00, 0.05, 0.01, STANDBY, NONE
3674, 1.56, 22.00, 0.03, 0.01, STANDBY, NONE
3684, 1.56, 22.00, 0.00, 0.01, STANDBY, NONE
3694, 1.56, 22.00, 0.00, 0.01, STANDBY, NONE
3704, 1.56, 22.00, 0.00, 0.01, STANDBY, NONE
3714, 1.17, 22.00, 0.03, 0.01, STANDBY, NONE
3724, 1.56, 22.00, 0.03, 0.01, STANDBY, NONE
3734, 1.56, 22.00, 0.00, 0.01, STANDBY, NONE
3744, 1.17, 22.00, 0.00, 0.01, STANDBY, NONE
3755, 1.56, 22.00, 0.00, 0.01, STANDBY, NONE
3765, 1.56, 22.00, 0.03, 0.01, STANDBY, NONE
3775, 1.56, 22.00, 0.00, 0.01, STANDBY, NONE
3785, 1.17, 22.00, 0.03, 0.01, STANDBY, NONE
3795, 1.17, 22.00, 0.00, 0.01, STANDBY, NONE
3805, 1.17, 22.00, 0.23, 0.01, STANDBY, NONE
3815, 1.17, 22.00, 0.03, 0.01, STANDBY, NONE
3825, 1.17, 22.00, 0.00, 0.01, STANDBY, NONE
3835, 1.56, 22.00, 0.00, 0.02, STANDBY, NONE
3845, 1.17, 22.00, 0.23, 0.02, STANDBY, NONE
3855, 1.17, 22.00, 0.05, 0.02, STANDBY, NONE
3865, 1.17, 22.00, 0.00, 0.01, STANDBY, NONE
3875, 1.56, 22.00, 0.00, 0.02, STANDBY, NONE
3885, 1.17, 22.00, 0.00, 0.02, STANDBY, NONE
3895, 1.56, 22.00, 0.05, 0.02, STANDBY, NONE
3905, 1.56, 22.00, 0.03, 0.02, STANDBY, NONE
3915, 1.56, 22.00, 0.05, 0.02, STANDBY, NONE
3926, 1.56, 22.00, 0.03, 0.01, STANDBY, NONE
3936, 1.17, 22.00, 0.05, 0.01, STANDBY, NONE
3946, 1.17, 22.00, 0.23, 0.01, STANDBY, NONE
3956, 1.17, 22.00, 0.00, 0.01, STANDBY, NONE
3966, 1.56, 22.00, 0.05, 0.01, STANDBY, NONE
3976, 1.17, 22.00, 0.03, 0.01, STANDBY, NONE
3986, 1.17, 22.00, 0.23, 0.01, STANDBY, NONE
3996, 1.56, 22.00, 0.00, 0.01, STANDBY, NONE
4006, 1.56, 22.00, 0.03, 0.01, STANDBY, NONE
4016, 1.56, 22.00, 0.00, 0.01, STANDBY, NONE
4026, 1.56, 22.00, 0.00, 0.01, STANDBY, NONE
4036, 1.17, 22.00, 0.00, 0.01, STANDBY, NONE
4046, 1.56, 22.00, 0.23, 0.01, STANDBY, NONE
4056, 1.56, 22.00, 0.00, 0.01, STANDBY, NONE
4066, 1.56, 22.00, 0.00, 0.01, STANDBY, NONE
4076, 1.56, 22.00, 0.00, 0.01, STANDBY, NONE
4086, 1.17, 22.00, 0.03, 0.01, STANDBY, NONE
4096, 1.56, 22.00, 0.00, 0.01, STANDBY, NONE
4106, 1.56, 22.00, 0.00, 0.01, STANDBY, NONE
4116, 1.56, 22.00, 0.05, 0.01, STANDBY, NONE
4126, 1.17, 22.00, 0.23, 0.01, STANDBY, NONE
