=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2019.06.26 15:36:44 =~=~=~=~=~=~=~=~=~=~=~=
Millis, Current, Temp., VoltageB-0.12, STANDBY, NONE
3885, 529, 24.00, 16.59, -0.14, STANDBY, NONE
3895, 529, 24.00, 16.59, -0.13, STANDBY, NONE
3905, 529, 24.00, 16.61, -0.14, STANDBY, NONE
3915, 529, 24.00, 16.56, -0.13, STANDBY, NONE
3926, 529, 24.00, 16.59, -0.13, STANDBY, NONE
3936, 530, 24.00, 16.56, -0.13, STANDBY, NONE
3946, 529, 24.00, 16.59, -0.14, STANDBY, NONE
3956, 529, 24.00, 16.59, -0.13, STANDBY, NONE
3966, 529, 24.00, 16.59, -0.13, STANDBY, NONE
3976, 529, 24.00, 16.59, -0.13, STANDBY, NONE
3986, 529, 24.00, 16.59, -0.13, STANDBY, NONE
3996, 529, 24.00, 16.59, -0.14, STANDBY, NONE
4006, 529, 24.00, 16.56, -0.13, STANDBY, NONE
4016, 529, 24.00, 16.59, -0.14, STANDBY, NONE
4026, 529, 24.00, 16.59, -0.14, STANDBY, NONE
4036, 529, 24.00, 16.56, -0.14, STANDBY, NONE
4046, 529, 24.00, 16.59, -0.14, STANDBY, NONE
4056, 529, 24.00, 16.59, -0.14, STANDBY, NONE
4066, 529, 24.00, 16.59, -0.14, STANDBY, NONE
4076, 529, 24.00, 16.59, -0.14, STANDBY, NONE
4086, 529, 24.00, 16.61, -0.14, STANDBY, NONE
4096, 529, 24.00, 16.59, -0.14, STANDBY, NONE
4106, 529, 24.00, 16.59, -0.14, STANDBY, NONE
4116, 529, 24.00, 16.59, -0.14, STANDBY, NONE
4126, 529, 24.00, 16.59, -0.14, STANDBY, NONE
4136, 528, 24.00, 16.59, -0.13, STANDBY, NONE
4146, 529, 24.00, 16.59, -0.13, STANDBY, NONE
4156, 529, 24.00, 16.59, -0.13, STANDBY, NONE
4166, 529, 24.00, 16.59, -0.13, STANDBY, NONE
4176, 529, 24.00, 16.59, -0.13, STANDBY, NONE
4186, 529, 24.00, 16.59, -0.13, STANDBY, NONE
4196, 529, 24.00, 16.56, -0.13, STANDBY, NONE
4206, 529, 24.00, 16.59, -0.14, STANDBY, NONE
4216, 529, 24.00, 16.59, -0.14, STANDBY, NONE
4226, 529, 24.00, 16.59, -0.14, STANDBY, NONE
4236, 529, 24.00, 16.56, -0.14, STANDBY, NONE
4246, 529, 24.00, 16.59, -0.14, STANDBY, NONE
4256, 528, 24.00, 16.56, -0.14, STANDBY, NONE
4267, 529, 24.00, 16.59, -0.14, STANDBY, NONE
4277, 529, 24.00, 16.59, -0.14, STANDBY, NONE
4287, 529, 24.00, 16.59, -0.14, STANDBY, NONE
4297, 529, 24.00, 16.59, -0.14, STANDBY, NONE
4307, 529, 24.00, 16.59, -0.14, STANDBY, NONE
4317, 528, 24.00, 16.59, -0.14, STANDBY, NONE
4327, 529, 24.00, 16.59, -0.13, STANDBY, NONE
4337, 529, 24.00, 16.61, -0.13, STANDBY, NONE
4347, 529, 24.00, 16.59, -0.13, STANDBY, NONE
4357, 529, 24.00, 16.56, -0.14, STANDBY, NONE
4367, 529, 24.00, 16.59, -0.14, STANDBY, NONE
4377, 529, 24.00, 16.59, -0.14, STANDBY, NONE
4387, 530, 24.00, 16.56, -0.14, STANDBY, NONE
4397, 529, 24.00, 16.59, -0.14, STANDBY, NONE
4407, 529, 24.00, 16.59, -0.14, STANDBY, NONE
4417, 529, 24.00, 16.59, -0.14, STANDBY, NONE
