=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2019.06.30 16:03:26 =~=~=~=~=~=~=~=~=~=~=~=
Millis, Current, Temp.5, -40.00, 0.54, -0.97, ALARM, LOW_FC_TEMP
2851, 6.25, -40.00, 0.57, -0.98, ALARM, LOW_FC_TEMP
2861, 6.25, -40.00, 0.62, -0.70, ALARM, LOW_FC_TEMP
2871, 6.25, -40.00, 0.52, -0.97, ALARM, LOW_FC_TEMP
2881, 6.25, -40.00, 0.57, -0.66, ALARM, LOW_FC_TEMP
2891, 6.25, -40.00, 0.47, -0.98, ALARM, LOW_FC_TEMP
2902, 6.25, -40.00, 0.54, -0.60, ALARM, LOW_FC_TEMP
2912, 5.86, -40.00, 0.57, -1.00, ALARM, LOW_FC_TEMP
2922, 6.25, -40.00, 0.60, -0.55, ALARM, LOW_FC_TEMP
2932, 5.86, -40.00, 0.52, -1.02, ALARM, LOW_FC_TEMP
2942, 6.64, -40.00, 0.49, -0.54, ALARM, LOW_FC_TEMP
2952, 5.86, -40.00, 0.41, -0.97, ALARM, LOW_FC_TEMP
2962, 6.25, -40.00, 0.60, -0.54, ALARM, LOW_FC_TEMP
2972, 5.86, -40.00, 0.28, -1.02, ALARM, LOW_FC_TEMP
2982, 6.64, -40.00, 0.57, -0.51, ALARM, LOW_FC_TEMP
2992, 5.86, -40.00, 0.54, -0.98, ALARM, LOW_FC_TEMP
3002, 6.25, -40.00, 0.57, -0.53, ALARM, LOW_FC_TEMP
3012, 6.25, -40.00, 0.44, -0.99, ALARM, LOW_FC_TEMP
3022, 6.25, -40.00, 0.60, -0.52, ALARM, LOW_FC_TEMP
3032, 5.86, -40.00, 0.60, -0.98, ALARM, LOW_FC_TEMP
3042, 6.25, -40.00, 0.57, -0.56, ALARM, LOW_FC_TEMP
3052, 5.86, -40.00, 0.54, -1.03, ALARM, LOW_FC_TEMP
3062, 6.64, -40.00, 0.57, -0.54, ALARM, LOW_FC_TEMP
3072, 5.86, -40.00, 0.60, -0.98, ALARM, LOW_FC_TEMP
3082, 6.25, -40.00, 0.47, -0.57, ALARM, LOW_FC_TEMP
3092, 5.86, -40.00, 0.54, -1.04, ALARM, LOW_FC_TEMP
3102, 6.64, -40.00, 0.57, -0.57, ALARM, LOW_FC_TEMP
3112, 6.25, -40.00, 0.52, -1.04, ALARM, LOW_FC_TEMP
3122, 6.25, -40.00, 0.44, -0.60, ALARM, LOW_FC_TEMP
3132, 6.25, -40.00, 0.54, -1.04, ALARM, LOW_FC_TEMP
3142, 6.64, -40.00, 0.44, -0.55, ALARM, LOW_FC_TEMP
3152, 6.25, -40.00, 0.52, -1.03, ALARM, LOW_FC_TEMP
3162, 6.25, -40.00, 0.54, -0.57, ALARM, LOW_FC_TEMP
3172, 5.86, -40.00, 0.57, -1.01, ALARM, LOW_FC_TEMP
3182, 6.25, -40.00, 0.54, -0.51, ALARM, LOW_FC_TEMP
3192, 5.86, -40.00, 0.54, -1.01, ALARM, LOW_FC_TEMP
3202, 6.25, -40.00, 0.60, -0.57, ALARM, LOW_FC_TEMP
3212, 6.25, -40.00, 0.57, -1.01, ALARM, LOW_FC_TEMP
3222, 5.86, -40.00, 0.57, -0.55, ALARM, LOW_FC_TEMP
3232, 5.86, -40.00, 0.57, -1.03, ALARM, LOW_FC_TEMP
3243, 6.25, -40.00, 0.57, -0.50, ALARM, LOW_FC_TEMP
3253, 5.86, -40.00, 0.54, -1.02, ALARM, LOW_FC_TEMP
3263, 6.25, -40.00, 0.41, -0.49, ALARM, LOW_FC_TEMP
3273, 5.86, -40.00, 0.57, -1.02, ALARM, LOW_FC_TEMP
3283, 6.25, -40.00, 0.52, -0.43, ALARM, LOW_FC_TEMP
3293, 6.25, -40.00, 0.57, -0.99, ALARM, LOW_FC_TEMP
3303, 6.64, -40.00, 0.57, -0.40, ALARM, LOW_FC_TEMP
3313, 5.86, -40.00, 0.60, -1.00, ALARM, LOW_FC_TEMP
3323, 6.25, -40.00, 0.47, -0.43, ALARM, LOW_FC_TEMP
3333, 5.86, -40.00, 0.47, -0.99, ALARM, LOW_FC_TEMP
