=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2019.06.26 10:53:44 =~=~=~=~=~=~=~=~=~=~=~=
3062, 0.00, 27.00, 17.44, 0.20, STANDBY, NONE
3072, 0.39, 27.00, 17.49, 0.20, STANDBY, NONE
3082, 0.00, 27.00, 17.44, 0.19, STANDBY, NONE
3092, 0.39, 27.00, 17.44, 0.19, STANDBY, NONE
3102, 0.39, 27.00, 17.52, 0.19, STANDBY, NONE
3112, 0.00, 27.00, 17.49, 0.19, STANDBY, NONE
3122, 0.00, 27.00, 17.44, 0.20, STANDBY, NONE
3132, 0.00, 27.00, 17.44, 0.20, STANDBY, NONE
3142, 0.00, 27.00, 17.49, 0.19, STANDBY, NONE
3152, 0.39, 27.00, 17.44, 0.19, STANDBY, NONE
3162, 0.00, 27.00, 17.44, 0.19, STANDBY, NONE
3172, 0.39, 27.00, 17.49, 0.19, STANDBY, NONE
3182, 0.00, 27.00, 17.44, 0.20, STANDBY, NONE
3192, 0.39, 27.00, 17.44, 0.20, STANDBY, NONE
3202, 0.00, 27.00, 17.49, 0.20, STANDBY, NONE
3212, 0.00, 27.00, 17.47, 0.20, STANDBY, NONE
3222, 0.00, 27.00, 17.44, 0.20, STANDBY, NONE
3232, 0.00, 27.00, 17.42, 0.20, STANDBY, NONE
3243, 0.39, 27.00, 17.44, 0.20, STANDBY, NONE
3253, 0.39, 27.00, 17.49, 0.20, STANDBY, NONE
3263, 0.00, 27.00, 17.47, 0.20, STANDBY, NONE
3273, 0.00, 27.00, 17.44, 0.20, STANDBY, NONE
3283, 0.39, 27.00, 17.44, 0.20, STANDBY, NONE
3293, 0.00, 27.00, 17.49, 0.20, STANDBY, NONE
3303, 0.39, 27.00, 17.47, 0.20, STANDBY, NONE
3313, 0.00, 27.00, 17.44, 0.20, STANDBY, NONE
3323, 0.39, 27.00, 17.44, 0.20, STANDBY, NONE
3333, 0.00, 27.00, 17.49, 0.19, STANDBY, NONE
3343, 0.39, 27.00, 17.47, 0.19, STANDBY, NONE
3353, 0.39, 27.00, 17.44, 0.19, STANDBY, NONE
3363, 0.00, 27.00, 17.44, 0.20, STANDBY, NONE
3373, 0.39, 27.00, 17.49, 0.20, STANDBY, NONE
3383, 0.00, 27.00, 17.44, 0.20, STANDBY, NONE
3393, 0.00, 27.00, 17.47, 0.20, STANDBY, NONE
3403, 0.00, 27.00, 17.44, 0.20, STANDBY, NONE
3414, 0.39, 27.00, 17.44, 0.20, STANDBY, NONE
3424, 0.00, 27.00, 17.47, 0.20, STANDBY, NONE
3434, 0.00, 27.00, 17.44, 0.19, STANDBY, NONE
3444, 0.39, 27.00, 17.47, 0.19, STANDBY, NONE
3454, 0.00, 27.00, 17.44, 0.19, STANDBY, NONE
